debate_id,speaker_id
57955,3104
57960,3104
41577,3104
17002,3104
57961,3104
57963,3104
41583,3104
57974,3104
66168,3104
57978,3104
57979,3104
17021,3104
41598,3104
57981,3104
41601,3104
66171,3104
66173,3104
66174,3104
17035,3104
17037,3104
17041,3104
41618,3104
41621,3104
66199,3104
66200,3104
41629,3104
58013,3104
25248,3104
58019,3104
58020,3104
58021,3104
41639,3104
41641,3104
25261,3104
58042,3104
17085,3104
58049,3104
58050,3104
58053,3104
58054,3104
66255,3104
66256,3104
41694,3104
41695,3104
41702,3104
41707,3104
41708,3104
58093,3104
66281,3104
66282,3104
41715,3104
17141,3104
17142,3104
41722,3104
41723,3104
58107,3104
58113,3104
41731,3104
58114,3104
41733,3104
58116,3104
41740,3104
41741,3104
17166,3104
17169,3104
41750,3104
66334,3104
41759,3104
58144,3104
25377,3104
58145,3104
17189,3104
41765,3104
58148,3104
41776,3104
58164,3104
58165,3104
41783,3104
58168,3104
41785,3104
41786,3104
25404,3104
25405,3104
17214,3104
41790,3104
41791,3104
66364,3104
41795,3104
41797,3104
41805,3104
41806,3104
41808,3104
25432,3104
41821,3104
41824,3104
41838,3104
66418,3104
58228,3104
58229,3104
58230,3104
58231,3104
58234,3104
58235,3104
58236,3104
66422,3104
66423,3104
66425,3104
41862,3104
41864,3104
17289,3104
41866,3104
58253,3104
17294,3104
58254,3104
25488,3104
58257,3104
58258,3104
25496,3104
17305,3104
25497,3104
17307,3104
25501,3104
25512,3104
58282,3104
58283,3104
58285,3104
17327,3104
58288,3104
25522,3104
50098,3104
17332,3104
58290,3104
41913,3104
25531,3104
41917,3104
58309,3104
41927,3104
41928,3104
58314,3104
66501,3104
58317,3104
41934,3104
66502,3104
66503,3104
66512,3104
17367,3104
41954,3104
58338,3104
66536,3104
58349,3104
41967,3104
58354,3104
50163,3104
66546,3104
58357,3104
41975,3104
82937,3104
41983,3104
41987,3104
41988,3104
41989,3104
58375,3104
17425,3104
17426,3104
17427,3104
42002,3104
42006,3104
17434,3104
66592,3104
66593,3104
42019,3104
17444,3104
42020,3104
42021,3104
50213,3104
66594,3104
66596,3104
25644,3104
42031,3104
58416,3104
58417,3104
83004,3104
42049,3104
42050,3104
42055,3104
42056,3104
58440,3104
58444,3104
66655,3104
66656,3104
66657,3104
66660,3104
50278,3104
25705,3104
83050,3104
66670,3104
58481,3104
25716,3104
66674,3104
66675,3104
66676,3104
66679,3104
66682,3104
58496,3104
58506,3104
58507,3104
83083,3104
25741,3104
58510,3104
58511,3104
66703,3104
66707,3104
42138,3104
42140,3104
17566,3104
17569,3104
42150,3104
17575,3104
25769,3104
25770,3104
66733,3104
66735,3104
17586,3104
17587,3104
42162,3104
42163,3104
42164,3104
58557,3104
17598,3104
17600,3104
17616,3104
66770,3104
83154,3104
66773,3104
42198,3104
42199,3104
66775,3104
66778,3104
42216,3104
42217,3104
66796,3104
42224,3104
42226,3104
58612,3104
58613,3104
42230,3104
58615,3104
17657,3104
58621,3104
17665,3104
42247,3104
42248,3104
42249,3104
17674,3104
17683,3104
66836,3104
42264,3104
42266,3104
42268,3104
42273,3104
58659,3104
17706,3104
50476,3104
66861,3104
42289,3104
66865,3104
58680,3104
50491,3104
42302,3104
42306,3104
42307,3104
42315,3104
58702,3104
42324,3104
42328,3104
17758,3104
17759,3104
42335,3104
42337,3104
42338,3104
66919,3104
17773,3104
25969,3104
50549,3104
58741,3104
58745,3104
66941,3104
58750,3104
50561,3104
66946,3104
66947,3104
42372,3104
25990,3104
42378,3104
50573,3104
42382,3104
17810,3104
26007,3104
26012,3104
26016,3104
42400,3104
42402,3104
17827,3104
66982,3104
26023,3104
26025,3104
50601,3104
66985,3104
66987,3104
26032,3104
17842,3104
42420,3104
26042,3104
67003,3104
67004,3104
67009,3104
58822,3104
26055,3104
58825,3104
26058,3104
58827,3104
58830,3104
26067,3104
42460,3104
17885,3104
17889,3104
17890,3104
42467,3104
58848,3104
58854,3104
58855,3104
67052,3104
42482,3104
17907,3104
42486,3104
17911,3104
9739,3104
67083,3104
67085,3104
67086,3104
58901,3104
42519,3104
67092,3104
58905,3104
58906,3104
67095,3104
42530,3104
42531,3104
42532,3104
17958,3104
42543,3104
58926,3104
42551,3104
42559,3104
58953,3104
83531,3104
42579,3104
42580,3104
42587,3104
42603,3104
42604,3104
42605,3104
18032,3104
42608,3104
58995,3104
58996,3104
83572,3104
42619,3104
42620,3104
18052,3104
18056,3104
42633,3104
18058,3104
59018,3104
59021,3104
59022,3104
67208,3104
67217,3104
42645,3104
26264,3104
59043,3104
59047,3104
59051,3104
42671,3104
67252,3104
67253,3104
26294,3104
42679,3104
42684,3104
59076,3104
59077,3104
42695,3104
67277,3104
42707,3104
26324,3104
42708,3104
42712,3104
59118,3104
59119,3104
42743,3104
42747,3104
42748,3104
59135,3104
50946,3104
67333,3104
67335,3104
18188,3104
67340,3104
50978,3104
50981,3104
67373,3104
67377,3104
42803,3104
26420,3104
67380,3104
26424,3104
42817,3104
26435,3104
42819,3104
26440,3104
42834,3104
42835,3104
42846,3104
42847,3104
59233,3104
26466,3104
59245,3104
26478,3104
42863,3104
59246,3104
26508,3104
59281,3104
59282,3104
59283,3104
59284,3104
51096,3104
18329,3104
42907,3104
59299,3104
59300,3104
42920,3104
67497,3104
26539,3104
67501,3104
26542,3104
42931,3104
42933,3104
51128,3104
67515,3104
42947,3104
42949,3104
51145,3104
59337,3104
59341,3104
42966,3104
42967,3104
51166,3104
67549,3104
67553,3104
42982,3104
67558,3104
42985,3104
18410,3104
83945,3104
59372,3104
83949,3104
65533,3104
42995,3104
42996,3104
18423,3104
67578,3104
43006,3104
18434,3104
59409,3104
59412,3104
43032,3104
59417,3104
59419,3104
59420,3104
67612,3104
43043,3104
51235,3104
51237,3104
67619,3104
67620,3104
59435,3104
59442,3104
26681,3104
26682,3104
59451,3104
26696,3104
84048,3104
26708,3104
51285,3104
26719,3104
51295,3104
59489,3104
