corresponding_id,alias,real_name,start,end,extra,links
6931,earl of aberdeen,John Hamilton-Gordon,1870/01/27,1916,7th Earl of Aberdeen,"https://en.wikipedia.org/wiki/John_Hamilton-Gordon,_1st_Marquess_of_Aberdeen_and_Temair"
647,secretary to the treasurey,John Hiley Addington,1801/03/24,1802/07/08,,https://en.wikipedia.org/wiki/Secretary_to_the_Treasury
989,secretary to the treasurey,Nicholas Vansittart,1802/07/08,1804/05/21,,https://en.wikipedia.org/wiki/Secretary_to_the_Treasury
1230,secretary to the treasurey,William Huskisson,1804/05/21,1806/02/10,,https://en.wikipedia.org/wiki/Secretary_to_the_Treasury
989,secretary to the treasurey,Nicholas Vansittart,1806/02/10,1807/04/01,,https://en.wikipedia.org/wiki/Secretary_to_the_Treasury
1518,secretary to the treasurey,Henry Wellesley,1807/04/01,1809/04/05,,https://en.wikipedia.org/wiki/Secretary_to_the_Treasury
1665,secretary to the treasurey,Charles Arbuthnot,1809/04/05,1823/02/07,,https://en.wikipedia.org/wiki/Secretary_to_the_Treasury
1626,secretary to the treasurey,Stephen Rumbold Lushington,1823/02/07,1827/04/19,,https://en.wikipedia.org/wiki/Secretary_to_the_Treasury
2539,secretary to the treasurey,Joseph Planta,1827/04/19,1830/11/26,,https://en.wikipedia.org/wiki/Joseph_Planta
2286,secretary to the treasurey,Thomas Spring Rice,1830/11/26,1834/06/06,transition from secretary to the treasury to financial secretary,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3134,secretary to the treasurey,Francis Thornhill Baring,1834/06/06,1834/11/14,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
2884,secretary to the treasurey,Thomas Francis Fremantle,1834/12/20,1835/04/01,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3134,secretary to the treasurey,Francis Thornhill Baring,1835/04/21,1839/08/26,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
1843,secretary to the treasurey,Robert Gordon,1839/09/06,1905/01/14,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3030,secretary to the treasurey,Richard More O'Ferrall,1841/06/09,1841/08/30,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
1703,secretary to the treasurey,George Clerk,1841/09/08,1905/01/18,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3781,secretary to the treasurey,Edward Cardwell,1845/02/04,1846/06/29,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3162,secretary to the treasurey,John Parker,1846/07/07,1905/01/22,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3567,secretary to the treasurey,William Goodenough Hayter,1849/05/22,1905/01/23,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3948,secretary to the treasurey,George Cornewall Lewis,1850/07/09,1905/01/25,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3323,secretary to the treasurey,George Alexander Hamilton,1852/03/02,1905/01/25,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4041,secretary to the treasurey,James Wilson,1853/01/05,1858/02/19,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
3323,secretary to the treasurey,George Alexander Hamilton,1858/03/02,1905/02/01,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4380,secretary to the treasurey,Stafford Henry Northcote,1859/01/21,1905/02/01,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4315,secretary to the treasurey,Samuel Laing,1859/06/24,1905/02/02,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4084,secretary to the treasurey,Frederick Peel,1860/11/02,1905/02/07,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4705,secretary to the treasurey,Hugh Culling Eardley Childers,1865/08/19,1866/06/26,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4580,secretary to the treasurey,George Ward Hunt,1866/07/14,1868/02/29,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
,secretary to the treasurey,George Limbrey Sclater-Booth,1868/03/04,1868/12/01,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4554,secretary to the treasurey,Acton Smee Ayrton,1868/12/09,1905/02/11,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4638,secretary to the treasurey,James Stansfeld,1869/11/02,1905/02/13,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4382,secretary to the treasurey,William Edward Baxter,1871/03/17,1873/08/11,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
